gen,best_feasible_obj,best_overall_obj,feasible_ratio,mean_infeasible_violation,lambda,alpha,elapsed_sec,gen_time_sec
0,nan,-6815.92,0,5631.12,100,5,3.275e-05,3.275e-05
1,nan,-6815.92,0,1883.16,100,5,6.25e-05,2.975e-05
2,nan,-7396.34,0,458.105,100,5,8.5625e-05,2.3125e-05
3,nan,-7396.34,0,144.111,100,5,0.000103875,1.825e-05
4,nan,-7571.14,0,43.6301,100,5,0.000120584,1.6709e-05
5,nan,-7379.97,0,15.1909,100,5,0.000136875,1.6291e-05
6,nan,-7551.94,0,7.86102,100,5,0.000152542,1.5667e-05
7,nan,-7206.99,0,5.53471,100,5,0.000168625,1.6083e-05
8,nan,-6532.53,0,3.71058,100,5,0.000184459,1.5834e-05
9,-4150.95,-6532.53,0.0166667,2.72671,100,5,0.000201209,1.675e-05
10,-4462.94,-6532.53,0.0833333,1.59691,100,5,0.000218167,1.6958e-05
11,-4462.94,-6162.69,0.133333,0.714594,100,5,0.000235,1.6833e-05
12,-4462.94,-5402.06,0.233333,0.483215,100,5,0.000252959,1.7959e-05
13,-4462.94,-5370.38,0.316667,0.377931,100,5,0.00027225,1.9291e-05
14,-4462.94,-4572.33,0.45,0.305478,100,5,0.00029025,1.8e-05
15,-4462.94,-4475.2,0.666667,0.134224,100,5,0.000309167,1.8917e-05
16,-4462.94,-4475.2,0.816667,0.0608122,100,5,0.000328042,1.8875e-05
17,-4462.94,-4462.94,1,0,100,5,0.000347667,1.9625e-05
18,-4463.06,-4463.06,1,0,100,5,0.00036725,1.9583e-05
19,-4463.06,-4463.06,1,0,100,5,0.000387209,1.9959e-05
20,-4591.77,-4591.77,1,0,100,5,0.000407167,1.9958e-05
21,-4617.62,-4617.62,1,0,100,5,0.000427584,2.0417e-05
22,-4617.62,-4617.62,1,0,100,5,0.000447542,1.9958e-05
23,-4617.62,-4617.62,1,0,100,5,0.000467292,1.975e-05
24,-4617.76,-4617.76,1,0,100,5,0.000487209,1.9917e-05
25,-4621.09,-4621.09,1,0,100,5,0.000507084,1.9875e-05
26,-4624.09,-4624.09,1,0,100,5,0.000526875,1.9791e-05
27,-4628.16,-4628.16,1,0,100,5,0.000546,1.9125e-05
28,-4870.93,-4870.93,1,0,100,5,0.0005655,1.95e-05
29,-4870.93,-4870.93,1,0,100,5,0.000585292,1.9792e-05
30,-4870.93,-4870.93,1,0,100,5,0.000604959,1.9667e-05
31,-4870.93,-4870.93,1,0,100,5,0.000625167,2.0208e-05
32,-4870.93,-4870.93,1,0,100,5,0.000645417,2.025e-05
33,-4871.85,-4871.85,1,0,100,5,0.000664917,1.95e-05
34,-4874.04,-4874.04,1,0,100,5,0.000685125,2.0208e-05
35,-4885.89,-4885.89,1,0,100,5,0.000705,1.9875e-05
36,-4926.53,-4926.53,1,0,100,5,0.000725042,2.0042e-05
37,-4926.53,-4926.53,1,0,100,5,0.000744375,1.9333e-05
38,-4926.53,-4926.53,1,0,100,5,0.000763709,1.9334e-05
39,-4927.21,-4927.21,1,0,100,5,0.000783459,1.975e-05
40,-4927.21,-4927.21,1,0,100,5,0.000802792,1.9333e-05
41,-5129.61,-5129.61,1,0,100,5,0.00082225,1.9458e-05
42,-5129.61,-5129.61,1,0,100,5,0.0008415,1.925e-05
43,-5132.65,-5132.65,1,0,100,5,0.000860959,1.9459e-05
44,-5153.93,-5153.93,1,0,100,5,0.000880292,1.9333e-05
45,-5153.93,-5153.93,1,0,100,5,0.000899542,1.925e-05
46,-5153.93,-5153.93,1,0,100,5,0.000919084,1.9542e-05
47,-5154.55,-5154.55,1,0,100,5,0.000938792,1.9708e-05
48,-5154.55,-5154.55,1,0,100,5,0.000957667,1.8875e-05
49,-5298.03,-5298.03,1,0,100,5,0.000976875,1.9208e-05
50,-5298.03,-5298.03,1,0,100,5,0.000996125,1.925e-05
51,-5298.09,-5298.09,1,0,100,5,0.00101521,1.9084e-05
52,-5298.09,-5298.09,1,0,100,5,0.00103437,1.9166e-05
53,-5298.09,-5298.09,1,0,100,5,0.0010545,2.0125e-05
54,-5298.09,-5298.09,1,0,100,5,0.00107421,1.9709e-05
55,-5298.09,-5298.09,1,0,100,5,0.00109408,1.9875e-05
56,-5303.92,-5303.92,1,0,100,5,0.00111346,1.9375e-05
57,-5303.92,-5303.92,1,0,100,5,0.00113308,1.9625e-05
58,-5303.92,-5303.92,1,0,100,5,0.00115292,1.9833e-05
59,-5306.33,-5306.33,1,0,100,5,0.00117346,2.0542e-05
60,-5306.33,-5306.33,1,0,100,5,0.00119321,1.975e-05
61,-5306.34,-5306.34,1,0,100,5,0.00121283,1.9625e-05
62,-5306.63,-5306.63,1,0,100,5,0.00123192,1.9083e-05
63,-5306.63,-5306.63,1,0,100,5,0.00125171,1.9792e-05
64,-5306.63,-5306.63,1,0,100,5,0.00127167,1.9958e-05
65,-5306.66,-5306.66,1,0,100,5,0.00129163,1.9958e-05
66,-5306.66,-5306.66,1,0,100,5,0.00131163,2e-05
67,-5306.66,-5306.66,1,0,100,5,0.00133075,1.9125e-05
68,-5309.2,-5309.2,1,0,100,5,0.00134946,1.8709e-05
69,-5309.2,-5309.2,1,0,100,5,0.00136879,1.9333e-05
70,-5309.2,-5309.2,1,0,100,5,0.00138783,1.9042e-05
71,-5309.55,-5309.55,1,0,100,5,0.00140617,1.8333e-05
72,-5309.55,-5309.55,1,0,100,5,0.00142438,1.8208e-05
73,-6402.78,-6402.78,1,0,100,5,0.00144271,1.8334e-05
74,-6402.78,-6402.78,1,0,100,5,0.00147313,3.0416e-05
75,-6402.78,-6402.78,1,0,100,5,0.00149279,1.9667e-05
76,-6402.78,-6402.78,1,0,100,5,0.00151233,1.9542e-05
77,-6402.78,-6402.78,1,0,100,5,0.00153175,1.9416e-05
78,-6402.78,-6402.78,1,0,100,5,0.00155,1.825e-05
79,-6402.78,-6402.78,1,0,100,5,0.00156958,1.9584e-05
80,-6402.78,-6402.78,1,0,100,5,0.00158842,1.8833e-05
81,-6402.78,-6402.78,1,0,100,5,0.0016075,1.9083e-05
82,-6402.78,-6402.78,1,0,100,5,0.00162646,1.8959e-05
83,-6402.78,-6402.78,1,0,100,5,0.00164562,1.9166e-05
84,-6403.2,-6403.2,1,0,100,5,0.00166512,1.95e-05
85,-6403.2,-6403.2,1,0,100,5,0.00168425,1.9125e-05
86,-6403.2,-6403.2,1,0,100,5,0.00170271,1.8459e-05
87,-6403.2,-6403.2,1,0,100,5,0.00172504,2.2333e-05
88,-6403.44,-6403.44,1,0,100,5,0.00174379,1.875e-05
89,-6403.44,-6403.44,1,0,100,5,0.00176258,1.8792e-05
90,-6403.44,-6403.44,1,0,100,5,0.00178117,1.8583e-05
91,-6403.44,-6403.44,1,0,100,5,0.00179925,1.8083e-05
92,-6405.73,-6405.73,1,0,100,5,0.00181804,1.8792e-05
93,-6405.73,-6405.73,1,0,100,5,0.00183742,1.9375e-05
94,-6406.98,-6406.98,1,0,100,5,0.00185721,1.9792e-05
95,-6406.98,-6406.98,1,0,100,5,0.00187717,1.9958e-05
96,-6406.98,-6406.98,1,0,100,5,0.00189658,1.9417e-05
97,-6406.98,-6406.98,1,0,100,5,0.00191679,2.0208e-05
98,-6406.98,-6406.98,1,0,100,5,0.001937,2.0208e-05
99,-6406.98,-6406.98,1,0,100,5,0.00195663,1.9625e-05
100,-6407.09,-6407.09,1,0,100,5,0.00197696,2.0334e-05
