gen,best_feasible_obj,best_overall_obj,feasible_ratio,mean_infeasible_violation,lambda,alpha,elapsed_sec,gen_time_sec
0,nan,-6815.92,0,5631.12,100,5,2.9e-05,2.9e-05
1,nan,-6815.92,0,1883.16,100,5,5.8042e-05,2.9042e-05
2,nan,-7396.34,0,458.105,100,5,7.9959e-05,2.1917e-05
3,nan,-7396.34,0,144.111,100,5,9.7917e-05,1.7958e-05
4,nan,-7571.14,0,43.6301,100,5,0.0001145,1.6583e-05
5,nan,-7379.97,0,15.1909,100,5,0.000130959,1.6459e-05
6,nan,-7551.94,0,7.86102,100,5,0.0001475,1.6541e-05
7,nan,-7206.99,0,5.53471,100,5,0.000164084,1.6584e-05
8,nan,-6532.53,0,3.71058,100,5,0.0001805,1.6416e-05
9,-4150.95,-6532.53,0.0166667,2.72671,100,5,0.000198042,1.7542e-05
10,-4462.94,-6532.53,0.0833333,1.59691,100,5,0.000215667,1.7625e-05
11,-4462.94,-6162.69,0.133333,0.714594,100,5,0.000233459,1.7792e-05
12,-4462.94,-5402.06,0.233333,0.483215,100,5,0.000252084,1.8625e-05
13,-4462.94,-5370.38,0.316667,0.377931,100,5,0.000272584,2.05e-05
14,-4462.94,-4572.33,0.45,0.305478,100,5,0.00029175,1.9166e-05
15,-4462.94,-4475.2,0.666667,0.134224,100,5,0.000311667,1.9917e-05
16,-4462.94,-4475.2,0.816667,0.0608122,100,5,0.000332,2.0333e-05
17,-4462.94,-4462.94,1,0,100,5,0.000352959,2.0959e-05
18,-4463.06,-4463.06,1,0,100,5,0.000373334,2.0375e-05
19,-4463.06,-4463.06,1,0,100,5,0.000394625,2.1291e-05
20,-4591.77,-4591.77,1,0,100,5,0.000415542,2.0917e-05
21,-4617.62,-4617.62,1,0,100,5,0.000436167,2.0625e-05
22,-4617.62,-4617.62,1,0,100,5,0.000456542,2.0375e-05
23,-4617.62,-4617.62,1,0,100,5,0.00047675,2.0208e-05
24,-4617.76,-4617.76,1,0,100,5,0.000497125,2.0375e-05
25,-4621.09,-4621.09,1,0,100,5,0.000517292,2.0167e-05
26,-4624.09,-4624.09,1,0,100,5,0.000537709,2.0417e-05
27,-4628.16,-4628.16,1,0,100,5,0.000557125,1.9416e-05
28,-4870.93,-4870.93,1,0,100,5,0.000577084,1.9959e-05
29,-4870.93,-4870.93,1,0,100,5,0.000596667,1.9583e-05
30,-4870.93,-4870.93,1,0,100,5,0.000616792,2.0125e-05
31,-4870.93,-4870.93,1,0,100,5,0.000637084,2.0292e-05
32,-4870.93,-4870.93,1,0,100,5,0.000657584,2.05e-05
33,-4871.85,-4871.85,1,0,100,5,0.000677167,1.9583e-05
34,-4874.04,-4874.04,1,0,100,5,0.000697375,2.0208e-05
35,-4885.89,-4885.89,1,0,100,5,0.00071725,1.9875e-05
36,-4926.53,-4926.53,1,0,100,5,0.00073725,2e-05
37,-4926.53,-4926.53,1,0,100,5,0.000756792,1.9542e-05
38,-4926.53,-4926.53,1,0,100,5,0.000775959,1.9167e-05
39,-4927.21,-4927.21,1,0,100,5,0.000795834,1.9875e-05
40,-4927.21,-4927.21,1,0,100,5,0.000815584,1.975e-05
41,-5129.61,-5129.61,1,0,100,5,0.000835334,1.975e-05
42,-5129.61,-5129.61,1,0,100,5,0.0008545,1.9166e-05
43,-5132.65,-5132.65,1,0,100,5,0.000874459,1.9959e-05
44,-5153.93,-5153.93,1,0,100,5,0.000893834,1.9375e-05
45,-5153.93,-5153.93,1,0,100,5,0.000913167,1.9333e-05
46,-5153.93,-5153.93,1,0,100,5,0.000933042,1.9875e-05
47,-5154.55,-5154.55,1,0,100,5,0.000953084,2.0042e-05
48,-5154.55,-5154.55,1,0,100,5,0.000972125,1.9041e-05
49,-5298.03,-5298.03,1,0,100,5,0.000991334,1.9209e-05
50,-5298.03,-5298.03,1,0,100,5,0.00101063,1.9291e-05
51,-5298.09,-5298.09,1,0,100,5,0.00103033,1.9709e-05
52,-5298.09,-5298.09,1,0,100,5,0.00104971,1.9375e-05
53,-5298.09,-5298.09,1,0,100,5,0.00106983,2.0125e-05
54,-5298.09,-5298.09,1,0,100,5,0.00108921,1.9375e-05
55,-5298.09,-5298.09,1,0,100,5,0.00110888,1.9666e-05
56,-5303.92,-5303.92,1,0,100,5,0.00113108,2.2209e-05
57,-5303.92,-5303.92,1,0,100,5,0.00115221,2.1125e-05
58,-5303.92,-5303.92,1,0,100,5,0.00117242,2.0208e-05
59,-5306.33,-5306.33,1,0,100,5,0.00119342,2.1e-05
60,-5306.33,-5306.33,1,0,100,5,0.00121371,2.0292e-05
61,-5306.34,-5306.34,1,0,100,5,0.00123362,1.9916e-05
62,-5306.63,-5306.63,1,0,100,5,0.00125371,2.0084e-05
63,-5306.63,-5306.63,1,0,100,5,0.00127392,2.0208e-05
64,-5306.63,-5306.63,1,0,100,5,0.00129429,2.0375e-05
65,-5306.66,-5306.66,1,0,100,5,0.00131533,2.1042e-05
66,-5306.66,-5306.66,1,0,100,5,0.00133563,2.0291e-05
67,-5306.66,-5306.66,1,0,100,5,0.00135508,1.9459e-05
68,-5309.2,-5309.2,1,0,100,5,0.00137429,1.9208e-05
69,-5309.2,-5309.2,1,0,100,5,0.00139371,1.9417e-05
70,-5309.2,-5309.2,1,0,100,5,0.00141358,1.9875e-05
71,-5309.55,-5309.55,1,0,100,5,0.00143238,1.8791e-05
72,-5309.55,-5309.55,1,0,100,5,0.00145117,1.8792e-05
73,-6402.78,-6402.78,1,0,100,5,0.00148342,3.225e-05
74,-6402.78,-6402.78,1,0,100,5,0.00150308,1.9667e-05
75,-6402.78,-6402.78,1,0,100,5,0.00152263,1.9541e-05
76,-6402.78,-6402.78,1,0,100,5,0.00154267,2.0042e-05
77,-6402.78,-6402.78,1,0,100,5,0.00156242,1.975e-05
78,-6402.78,-6402.78,1,0,100,5,0.00158113,1.8708e-05
79,-6402.78,-6402.78,1,0,100,5,0.001601,1.9875e-05
80,-6402.78,-6402.78,1,0,100,5,0.00162,1.9e-05
81,-6402.78,-6402.78,1,0,100,5,0.00163917,1.9167e-05
82,-6402.78,-6402.78,1,0,100,5,0.00165821,1.9042e-05
83,-6402.78,-6402.78,1,0,100,5,0.00167733,1.9125e-05
84,-6403.2,-6403.2,1,0,100,5,0.00169679,1.9458e-05
85,-6403.2,-6403.2,1,0,100,5,0.00171592,1.9125e-05
86,-6403.2,-6403.2,1,0,100,5,0.00173438,1.8458e-05
87,-6403.2,-6403.2,1,0,100,5,0.00175333,1.8959e-05
88,-6403.44,-6403.44,1,0,100,5,0.00177192,1.8583e-05
89,-6403.44,-6403.44,1,0,100,5,0.00179033,1.8417e-05
90,-6403.44,-6403.44,1,0,100,5,0.00180862,1.8291e-05
91,-6403.44,-6403.44,1,0,100,5,0.00182675,1.8125e-05
92,-6405.73,-6405.73,1,0,100,5,0.00184546,1.8709e-05
93,-6405.73,-6405.73,1,0,100,5,0.00186429,1.8833e-05
94,-6406.98,-6406.98,1,0,100,5,0.00188367,1.9375e-05
95,-6406.98,-6406.98,1,0,100,5,0.00190358,1.9917e-05
96,-6406.98,-6406.98,1,0,100,5,0.00192304,1.9458e-05
97,-6406.98,-6406.98,1,0,100,5,0.00194271,1.9667e-05
98,-6406.98,-6406.98,1,0,100,5,0.00196242,1.9708e-05
99,-6406.98,-6406.98,1,0,100,5,0.0019815,1.9083e-05
100,-6407.09,-6407.09,1,0,100,5,0.00200196,2.0459e-05
