gen,best_feasible_obj,best_overall_obj,feasible_ratio,mean_infeasible_violation,lambda,alpha,elapsed_sec,gen_time_sec
0,nan,-6815.92,0,5631.12,222.554,5,6.025e-05,6.025e-05
1,nan,-6815.92,0,1883.16,320.478,5,9.3375e-05,3.3125e-05
2,nan,-7396.34,0,458.105,436.206,5,0.00011675,2.3375e-05
3,nan,-7396.34,0,144.111,569.738,5,0.000136375,1.9625e-05
4,nan,-7571.14,0,43.6301,721.075,5,0.000154125,1.775e-05
5,nan,-7379.97,0,15.1909,890.216,5,0.000171458,1.7333e-05
6,nan,-7551.94,0,7.86102,1077.16,5,0.000188458,1.7e-05
7,nan,-7206.99,0,5.53471,1281.91,5,0.00020625,1.7792e-05
8,nan,-6532.53,0,3.71058,1504.47,5,0.000223375,1.7125e-05
9,-4150.95,-6532.53,0.0166667,2.72671,1687.62,5,0.000242125,1.875e-05
10,-4462.94,-6532.53,0.0833333,1.60421,1695.49,5,0.000270542,2.8417e-05
11,-4462.94,-6162.69,0.15,0.676166,1688.29,5,0.000302958,3.2416e-05
12,-4462.94,-4572.33,0.233333,0.424164,1613.33,5,0.000348833,4.5875e-05
13,-4462.94,-4582.31,0.333333,0.355247,1480.85,5,0.000400167,5.1334e-05
14,-4462.94,-4582.31,0.433333,0.281779,1350.87,5,0.000448083,4.7916e-05
15,-4462.94,-4462.94,0.683333,0.130843,907.862,5,0.000485083,3.7e-05
16,-4462.94,-4462.94,0.866667,0.111082,693.677,5,0.00051675,3.1667e-05
17,-4462.94,-4462.94,1,0,583.112,5,0.000546375,2.9625e-05
18,-4463.68,-4463.68,1,0,637.327,5,0.000575167,2.8792e-05
19,-4464.18,-4464.18,1,0,693.951,5,0.00060325,2.8083e-05
20,-4464.18,-4464.18,1,0,752.986,5,0.000639458,3.6208e-05
21,-4695.09,-4695.09,1,0,814.429,5,0.000670958,3.15e-05
22,-4695.09,-4695.09,1,0,878.282,5,0.0006995,2.8542e-05
23,-4695.09,-4695.09,1,0,944.545,5,0.00072775,2.825e-05
24,-4723.43,-4723.43,1,0,1013.22,5,0.000763958,3.6208e-05
25,-4723.43,-4723.43,1,0,1084.3,5,0.000795542,3.1584e-05
26,-4723.43,-4723.43,1,0,1157.79,5,0.000826833,3.1291e-05
27,-4723.43,-4723.43,1,0,1233.69,5,0.0008655,3.8667e-05
28,-4945.65,-4945.65,1,0,1312,5,0.000894083,2.8583e-05
29,-4945.65,-4945.65,1,0,1392.72,5,0.000921833,2.775e-05
30,-4945.65,-4945.65,1,0,1475.85,5,0.00095725,3.5417e-05
31,-4945.65,-4945.65,1,0,1561.39,5,0.000994958,3.7708e-05
32,-4945.65,-4945.65,1,0,1649.34,5,0.00102575,3.0792e-05
33,-4945.65,-4945.65,1,0,1739.7,5,0.001053,2.725e-05
