from_id,to_id,travel_hours
0,1,1.18
0,2,2.68
0,3,3.8
0,4,3.33
0,5,2.57
0,6,3.35
0,7,4.23
0,8,7.36
0,9,7.05
0,10,6.55
0,11,6.67
0,12,5.93
0,13,6.04
0,14,5.58
0,15,9.34
0,16,5.85
0,17,7.18
0,18,7.26
0,19,5.56
0,20,6.87
0,21,6.63
0,22,6.93
0,23,5.76
0,24,7.48
0,25,5.96
0,26,6.46
0,27,8.11
0,28,7.59
0,29,6.83
0,30,5.4
0,31,6.38
0,32,5.76
0,33,4.95
0,34,7.29
0,35,5.7
0,36,7.68
0,37,6.75
0,38,6.53
0,39,6.54
0,40,7.21
0,41,6.6
0,42,7.57
0,43,6.57
0,44,7.68
0,45,11.48
0,46,8.03
0,47,9.07
0,48,9.47
0,49,9.13
0,50,6.31
0,51,7.34
0,52,8.82
0,53,5.89
0,54,8.0
0,55,5.73
1,2,2.65
1,3,3.65
1,4,2.97
1,5,2.27
1,6,2.35
1,7,3.29
1,8,6.43
1,9,6.65
1,10,6.22
1,11,7.26
1,12,4.48
1,13,4.59
1,14,4.43
1,15,7.3
1,16,6.62
1,17,6.3
1,18,5.37
1,19,6.29
1,20,5.93
1,21,6.69
1,22,5.13
1,23,6.82
1,24,5.95
1,25,6.27
1,26,6.67
1,27,7.0
1,28,5.3
1,29,5.44
1,30,6.13
1,31,5.75
1,32,5.58
1,33,5.88
1,34,5.48
1,35,5.27
1,36,6.12
1,37,6.57
1,38,5.19
1,39,6.47
1,40,7.85
1,41,6.2
1,42,6.73
1,43,8.33
1,44,8.38
1,45,9.6
1,46,5.83
1,47,10.03
1,48,6.63
1,49,6.36
1,50,7.39
1,51,6.06
1,52,6.34
1,53,5.62
1,54,7.7
1,55,6.86
2,3,1.8
2,4,1.59
2,5,1.27
2,6,1.66
2,7,1.5
2,8,3.49
2,9,5.3
2,10,4.17
2,11,4.55
2,12,2.84
2,13,2.9
2,14,2.84
2,15,6.68
2,16,5.26
2,17,4.69
2,18,4.07
2,19,3.9
2,20,3.67
2,21,4.5
2,22,5.19
2,23,3.79
2,24,5.1
2,25,3.79
2,26,3.82
2,27,5.69
2,28,5.25
2,29,5.53
2,30,4.57
2,31,4.0
2,32,4.03
2,33,5.03
2,34,5.07
2,35,3.78
2,36,4.28
2,37,5.17
2,38,4.87
2,39,5.94
2,40,4.72
2,41,5.92
2,42,5.01
2,43,5.91
2,44,5.85
2,45,8.73
2,46,4.97
2,47,8.01
2,48,6.09
2,49,5.31
2,50,4.2
2,51,3.41
2,52,4.9
2,53,4.85
2,54,4.46
2,55,4.78
3,4,1.0
3,5,1.94
3,6,1.76
3,7,1.54
3,8,2.8
3,9,3.23
3,10,4.01
3,11,4.34
3,12,1.79
3,13,1.75
3,14,1.8
3,15,4.97
3,16,3.81
3,17,3.03
3,18,3.28
3,19,4.06
3,20,3.08
3,21,4.16
3,22,3.23
3,23,3.06
3,24,3.16
3,25,3.1
3,26,4.16
3,27,4.72
3,28,3.81
3,29,4.14
3,30,4.36
3,31,4.53
3,32,4.42
3,33,4.7
3,34,3.21
3,35,3.07
3,36,3.55
3,37,2.79
3,38,3.39
3,39,3.99
3,40,3.73
3,41,4.29
3,42,4.2
3,43,4.22
3,44,5.3
3,45,6.09
3,46,3.51
3,47,6.37
3,48,4.01
3,49,4.89
3,50,3.66
3,51,2.87
3,52,4.76
3,53,3.23
3,54,4.16
3,55,3.89
4,5,1.52
4,6,1.45
4,7,1.78
4,8,3.74
4,9,3.69
4,10,3.48
4,11,4.4
4,12,2.33
4,13,2.37
4,14,2.81
4,15,4.34
4,16,4.37
4,17,4.42
4,18,2.89
4,19,3.91
4,20,3.65
4,21,4.48
4,22,4.42
4,23,4.5
4,24,4.96
4,25,3.25
4,26,4.38
4,27,4.79
4,28,4.75
4,29,4.13
4,30,4.61
4,31,3.78
4,32,4.74
4,33,4.85
4,34,3.6
4,35,3.5
4,36,4.38
4,37,3.26
4,38,2.94
4,39,4.55
4,40,4.32
4,41,4.44
4,42,4.39
4,43,4.97
4,44,6.0
4,45,7.22
4,46,4.98
4,47,6.95
4,48,5.46
4,49,4.53
4,50,4.1
4,51,2.6
4,52,4.51
4,53,3.85
4,54,3.75
4,55,4.51
5,6,0.98
5,7,2.15
5,8,4.03
5,9,5.4
5,10,3.96
5,11,5.62
5,12,3.39
5,13,3.45
5,14,2.96
5,15,6.39
5,16,5.95
5,17,5.23
5,18,4.78
5,19,5.45
5,20,5.48
5,21,4.67
5,22,4.94
5,23,5.74
5,24,4.42
5,25,5.42
5,26,4.18
5,27,5.09
5,28,5.96
5,29,5.14
5,30,5.17
5,31,4.45
5,32,3.87
5,33,5.43
