from_id,to_id,travel_hours
0,1,1.35
0,2,2.91
0,3,3.32
0,4,3.55
0,5,2.89
0,6,3.06
0,7,2.72
0,8,2.69
0,9,2.83
0,10,3.6
0,11,3.43
0,12,3.61
0,13,3.61
0,14,3.43
0,15,5.64
0,16,4.67
0,17,3.51
0,18,4.98
0,19,3.03
0,20,3.35
0,21,3.52
0,22,3.54
0,23,2.94
0,24,3.17
0,25,3.67
0,26,3.76
0,27,3.81
0,28,3.15
0,29,3.95
0,30,3.56
0,31,3.67
0,32,4.4
0,33,4.58
0,34,3.41
0,35,5.06
0,36,2.86
0,37,2.92
0,38,3.06
0,39,2.8
0,40,4.14
0,41,5.04
0,42,3.82
0,43,4.07
0,44,3.69
0,45,5.07
0,46,4.71
0,47,4.52
0,48,3.82
0,49,3.69
0,50,4.2
0,51,4.24
0,52,4.44
0,53,2.63
0,54,3.46
0,55,3.17
0,56,5.49
0,57,4.34
0,58,2.89
0,59,4.73
0,60,4.89
0,61,6.45
0,62,3.2
0,63,2.89
0,64,4.46
0,65,3.17
0,66,2.32
0,67,3.57
0,68,5.04
0,69,6.41
0,70,2.91
0,71,3.28
0,72,3.12
0,73,4.7
0,74,4.32
0,75,4.77
0,76,4.13
0,77,5.34
0,78,3.98
0,79,4.25
0,80,3.28
0,81,3.42
0,82,2.76
0,83,5.34
0,84,3.38
0,85,3.24
0,86,4.0
0,87,3.91
0,88,3.8
0,89,2.6
0,90,4.27
0,91,4.4
0,92,3.32
0,93,3.94
0,94,2.48
0,95,4.56
0,96,4.06
0,97,3.69
0,98,3.93
0,99,3.75
0,100,3.75
0,101,2.52
0,102,3.78
0,103,3.96
0,104,1.8
0,105,3.17
0,106,3.46
0,107,3.38
0,108,3.4
0,109,2.39
0,110,2.85
0,111,3.51
0,112,2.68
0,113,3.66
0,114,5.37
0,115,3.15
0,116,3.72
0,117,3.54
0,118,5.98
0,119,3.54
0,120,5.83
0,121,3.24
0,122,7.96
0,123,5.87
0,124,3.56
0,125,3.59
0,126,4.45
0,127,2.59
0,128,5.14
0,129,3.85
0,130,4.87
0,131,4.45
0,132,4.11
0,133,3.61
0,134,5.43
0,135,3.69
0,136,2.95
0,137,5.04
0,138,7.04
0,139,6.49
0,140,4.6
0,141,3.7
0,142,4.92
0,143,4.84
0,144,4.45
0,145,6.0
0,146,4.31
0,147,4.62
0,148,3.38
0,149,4.72
0,150,4.47
0,151,4.86
0,152,5.2
0,153,3.96
0,154,3.71
0,155,2.31
0,156,1.28
0,157,3.02
0,158,6.66
0,159,5.21
0,160,2.27
0,161,3.01
0,162,6.02
0,163,2.63
0,164,2.38
0,165,3.31
0,166,3.88
0,167,5.87
0,168,2.75
0,169,5.6
0,170,5.26
0,171,4.03
0,172,3.39
0,173,2.86
0,174,5.31
0,175,4.87
0,176,3.75
0,177,1.83
0,178,7.56
0,179,4.33
0,180,4.05
0,181,4.1
0,182,4.58
0,183,3.63
0,184,4.04
0,185,1.07
0,186,4.14
0,187,3.45
0,188,3.79
0,189,3.9
0,190,5.48
0,191,4.96
0,192,4.26
0,193,4.78
0,194,3.61
0,195,4.36
0,196,3.79
0,197,5.18
0,198,2.77
0,199,3.08
0,200,4.46
0,201,3.11
0,202,4.13
0,203,4.51
0,204,2.81
0,205,3.86
0,206,3.91
0,207,4.06
0,208,4.09
0,209,3.85
0,210,3.59
0,211,3.11
0,212,3.26
0,213,3.65
0,214,5.6
0,215,3.18
0,216,3.29
0,217,2.94
0,218,4.98
0,219,7.14
0,220,2.15
0,221,4.04
0,222,3.08
0,223,4.82
0,224,3.91
0,225,4.07
0,226,3.71
0,227,6.39
0,228,4.15
0,229,3.34
0,230,3.54
0,231,2.97
0,232,3.94
0,233,3.75
0,234,2.89
0,235,3.82
0,236,4.41
0,237,1.57
0,238,4.39
0,239,3.73
0,240,4.22
0,241,4.54
0,242,5.11
0,243,3.18
0,244,3.9
0,245,2.41
0,246,4.26
0,247,4.3
0,248,5.43
0,249,5.14
0,250,2.5
0,251,4.7
0,252,2.5
0,253,4.33
0,254,5.4
0,255,4.63
0,256,3.22
0,257,3.97
0,258,3.24
0,259,3.91
0,260,3.94
0,261,3.94
0,262,0.81
0,263,4.31
0,264,3.14
0,265,3.45
0,266,2.97
0,267,2.32
0,268,3.27
0,269,2.79
0,270,3.95
0,271,5.59
0,272,5.08
0,273,3.27
0,274,3.84
0,275,5.11
0,276,3.84
0,277,3.58
0,278,2.78
0,279,3.99
0,280,3.52
0,281,2.62
0,282,4.35
0,283,3.61
0,284,3.46
0,285,4.05
0,286,3.43
0,287,4.23
0,288,2.96
0,289,4.11
0,290,3.64
0,291,3.7
0,292,3.76
0,293,3.48
0,294,3.3
0,295,1.52
0,296,5.78
0,297,3.73
0,298,4.07
0,299,3.2
1,2,1.82
1,3,2.83
1,4,3.65
1,5,3.42
1,6,2.7
1,7,2.75
1,8,2.9
1,9,3.79
1,10,3.2
1,11,5.15
1,12,3.67
1,13,2.78
1,14,1.77
1,15,4.7
1,16,3.13
1,17,4.68
1,18,3.43
1,19,4.61
1,20,3.72
1,21,3.63
1,22,3.73
1,23,2.58
1,24,2.79
1,25,3.75
1,26,3.61
1,27,3.59
1,28,2.39
1,29,3.34
1,30,2.52
1,31,3.39
1,32,3.24
1,33,3.75
1,34,3.03
1,35,2.81
1,36,4.9
1,37,2.65
1,38,4.68
1,39,4.18
1,40,3.55
1,41,3.77
1,42,2.96
1,43,5.26
1,44,4.74
1,45,4.23
1,46,3.33
1,47,3.74
1,48,3.86
1,49,2.77
1,50,2.63
1,51,2.6
1,52,4.14
1,53,3.6
1,54,3.22
1,55,4.14
1,56,5.48
1,57,3.16
1,58,2.9
1,59,3.83
1,60,5.14
1,61,3.18
1,62,3.8
1,63,3.09
1,64,3.14
1,65,4.93
1,66,3.97
1,67,2.48
1,68,3.95
1,69,3.41
1,70,4.28
1,71,1.77
1,72,3.36
1,73,6.26
1,74,3.97
1,75,4.23
1,76,3.97
1,77,3.3
1,78,3.46
1,79,4.15
1,80,3.06
1,81,3.23
1,82,4.19
1,83,3.98
1,84,4.31
1,85,5.15
1,86,5.76
1,87,3.09
1,88,4.11
1,89,4.19
1,90,4.25
1,91,4.35
1,92,3.14
1,93,2.99
1,94,4.07
1,95,2.29
1,96,3.49
1,97,4.55
1,98,3.1
1,99,2.94
1,100,3.31
1,101,4.56
1,102,2.4
1,103,4.11
1,104,2.86
1,105,3.94
1,106,3.82
1,107,2.55
1,108,3.44
1,109,3.16
1,110,4.29
1,111,2.99
1,112,4.0
1,113,3.22
1,114,5.05
1,115,4.52
1,116,4.59
1,117,4.12
1,118,4.16
1,119,3.04
1,120,4.0
1,121,4.03
1,122,4.2
1,123,4.44
1,124,5.54
1,125,5.63
1,126,4.55
1,127,4.21
1,128,6.07
1,129,5.62
1,130,4.3
1,131,3.24
1,132,3.59
1,133,4.37
1,134,4.76
1,135,4.83
1,136,4.19
1,137,6.03
1,138,4.53
1,139,6.17
1,140,5.18
1,141,5.46
1,142,3.75
1,143,4.5
1,144,4.87
1,145,4.3
1,146,4.77
1,147,5.69
1,148,3.14
1,149,2.88
1,150,4.47
1,151,5.72
1,152,5.14
1,153,3.61
1,154,4.09
1,155,2.69
1,156,1.75
1,157,2.21
1,158,4.47
1,159,2.78
1,160,2.52
1,161,3.79
1,162,3.92
1,163,3.03
1,164,3.59
1,165,1.99
1,166,3.0
1,167,5.71
1,168,2.25
1,169,6.58
1,170,4.55
1,171,2.07
1,172,4.06
1,173,2.15
1,174,4.01
1,175,2.85
1,176,2.49
1,177,0.95
1,178,3.86
1,179,6.33
1,180,4.02
1,181,3.1
1,182,3.81
1,183,4.51
1,184,3.92
1,185,1.65
1,186,2.73
1,187,2.83
1,188,3.63
1,189,4.19
1,190,4.42
1,191,4.54
1,192,3.13
1,193,5.61
1,194,3.09
1,195,4.21
1,196,2.49
1,197,3.66
1,198,4.48
1,199,3.94
1,200,3.74
1,201,4.44
1,202,3.36
1,203,4.86
1,204,4.28
1,205,2.63
1,206,2.37
1,207,3.83
1,208,3.83
1,209,2.95
1,210,2.91
1,211,3.23
1,212,3.03
1,213,3.14
1,214,3.03
1,215,3.33
1,216,2.08
1,217,4.29
1,218,5.31
1,219,6.4
1,220,3.46
1,221,3.72
1,222,4.38
1,223,4.01
1,224,4.02
1,225,3.69
1,226,6.03
1,227,4.14
1,228,3.49
1,229,2.3
1,230,3.55
1,231,3.59
1,232,6.08
1,233,3.1
1,234,3.6
1,235,3.1
1,236,4.62
1,237,0.42
1,238,4.74
1,239,3.0
1,240,2.93
1,241,3.95
1,242,3.81
1,243,2.95
1,244,3.42
1,245,2.74
1,246,4.14
1,247,4.9
1,248,2.98
1,249,4.06
1,250,3.86
1,251,4.85
1,252,2.83
1,253,5.19
1,254,4.27
1,255,3.21
1,256,5.08
1,257,3.83
1,258,2.93
1,259,4.67
1,260,5.43
1,261,2.76
1,262,1.63
1,263,3.15
1,264,4.48
1,265,2.14
1,266,3.75
1,267,1.62
1,268,3.63
1,269,4.79
1,270,3.49
1,271,4.81
1,272,3.82
1,273,2.58
1,274,3.54
1,275,3.15
1,276,3.87
1,277,2.74
1,278,3.47
1,279,4.18
1,280,3.11
1,281,3.21
1,282,3.5
1,283,3.65
1,284,4.43
1,285,1.99
1,286,3.67
1,287,3.66
1,288,3.15
1,289,3.29
1,290,4.47
1,291,2.78
1,292,4.89
1,293,4.14
1,294,4.07
1,295,0.64
1,296,2.85
1,297,4.95
1,298,3.4
1,299,3.03
2,3,0.86
2,4,2.34
2,5,1.14
2,6,2.36
2,7,1.1
2,8,3.16
2,9,2.82
2,10,2.7
2,11,2.9
2,12,3.04
2,13,2.15
2,14,2.48
2,15,2.83
2,16,4.34
2,17,2.47
2,18,2.86
2,19,3.4
2,20,5.33
2,21,2.04
2,22,3.71
2,23,3.3
2,24,3.51
2,25,1.98
2,26,3.02
2,27,2.69
2,28,2.69
2,29,4.0
2,30,3.26
2,31,2.26
2,32,3.27
2,33,3.14
2,34,2.98
2,35,2.95
2,36,3.25
2,37,3.44
2,38,3.43
2,39,2.16
2,40,1.88
2,41,3.31
2,42,2.09
2,43,4.43
2,44,3.3
2,45,2.8
2,46,2.17
2,47,3.28
2,48,4.35
2,49,4.96
2,50,3.27
2,51,3.26
2,52,3.15
2,53,3.02
2,54,3.86
2,55,3.87
2,56,4.33
2,57,3.13
2,58,3.14
2,59,3.68
2,60,4.62
2,61,4.42
2,62,4.56
2,63,3.85
2,64,3.1
2,65,2.64
2,66,4.57
2,67,2.25
2,68,2.57
2,69,4.75
2,70,3.01
2,71,2.87
2,72,3.79
2,73,4.27
2,74,4.42
2,75,3.26
2,76,4.17
2,77,3.33
2,78,2.74
2,79,4.32
2,80,3.32
2,81,3.06
2,82,4.83
2,83,2.68
2,84,2.61
2,85,2.69
2,86,4.45
2,87,2.83
2,88,2.65
2,89,4.67
2,90,2.64
2,91,3.19
2,92,3.4
2,93,2.64
2,94,3.07
2,95,2.23
2,96,3.17
2,97,2.7
2,98,3.77
2,99,3.61
2,100,3.26
2,101,4.63
2,102,4.62
2,103,1.89
2,104,3.63
2,105,4.53
2,106,2.74
2,107,3.41
2,108,2.96
2,109,4.23
2,110,2.81
2,111,3.33
2,112,3.47
2,113,4.54
2,114,2.7
2,115,3.47
2,116,3.83
2,117,3.11
2,118,2.88
2,119,3.38
2,120,5.47
2,121,2.53
2,122,5.57
2,123,2.83
2,124,3.99
2,125,3.47
2,126,4.92
2,127,2.91
2,128,3.39
2,129,4.82
